Nom;Prenom;Conflit;Date deces;Departement de naissance;Nom departement de naissance
DAHOUGHI;Ben Brahim;1914-1918;03/07/1917;9350;Maroc
DJILLALI;Ould Regrani;1914-1918;15/01/1915;9350;Maroc
EL AYACHI;Ben Madani;1914-1918;05/09/1914;9350;Maroc
EL BACHIR;Ben Nadjem;1914-1918;05/05/1915;9350;Maroc
EL KEBIR;Ould Rabah Ben Lekkine;1914-1918;12/11/1914;9350;Maroc
EL KORCHI;Ben Mokhtar;1914-1918;06/10/1915;9350;Maroc
EL MAATI;Ben Mohamed;1914-1918;14/05/1916;9350;Maroc
FATHA;Ben Messaoud;1914-1918;22/06/1917;9350;Maroc
HAMADI;Ben Matti;1914-1918;06/10/1915;9350;Maroc
HAMON;Ben Abderrahman;1914-1918;23/08/1919;9350;Maroc
HAMOU;Ben Si Amar;1914-1918;08/06/1917;9350;Maroc
IDAR;Ben Hamadi;1914-1918;14/02/1915;9350;Maroc
KADDOUR;Ben Mohamed;1914-1918;29/06/1918;9350;Maroc
KHELIFA;Ben Majoub;1914-1918;30/09/1918;9350;Maroc
L'HACEM;Ben Mohamed;1914-1918;22/12/1914;9350;Maroc
LACHMI;Ben Embareck;1914-1918;06/10/1915;9350;Maroc
LAHOUSSINE;Ben Hamoud;1914-1918;30/08/1914;9350;Maroc
LAKDAR;Ben Bouazza;1914-1918;27/09/1918;9350;Maroc
LARBI;Ben Abdesselem;1914-1918;18/07/1918;9350;Maroc
LARBI;Ben Ahmed;1914-1918;16/04/1917;9350;Maroc
LARBI;Ben Mohamed;1914-1918;10/08/1918;9350;Maroc
LARBI;Ben Moktar;1914-1918;13/05/1916;9350;Maroc
LARBI;Ben Raho;1914-1918;05/09/1914;9350;Maroc
LHASSEN;Ben Ali;1914-1918;06/10/1915;9350;Maroc
LHASSEN;Ben Haddou;1914-1918;23/05/1916;9350;Maroc
M'AHMED;Ben Ahmed;1914-1918;05/06/1917;9350;Maroc
M'AHMED;Ben Mohamed;1914-1918;21/01/1919;9350;Maroc
M'HAMED;Ben El Kamel;1914-1918;23/10/1917;9350;Maroc
MAHJOUB;Ben Si Tahar;1914-1918;16/04/1917;9350;Maroc
MEZERCLA;Mohammed Ben Ahmed;1914-1918;08/08/1918;9350;Maroc
MIMOU;Ben Daoud;1914-1918;29/03/1919;9350;Maroc
MIMOUN;Ben Ali;1914-1918;14/11/1914;9350;Maroc
MOHA;Ou Ali;1914-1918;18/10/1918;9350;Maroc
MOHAMED;Ben Abdallah;1914-1918;21/08/1918;9350;Maroc
MOHAMED;Ben Abdallah;1914-1918;30/04/1915;9350;Maroc
MOHAMED;Ben Abdesselem;1914-1918;30/10/1918;9350;Maroc
MOHAMED;Ben Ahmed;1914-1918;27/12/1918;9350;Maroc
MOHAMED;Ben Ali;1914-1918;14/05/1915;9350;Maroc
MOHAMED;Ben Bouchaeb;1914-1918;;9350;Maroc
MOHAMED;Ben Daoudi;1914-1918;16/06/1918;9350;Maroc
MOHAMED;Ben Daouli;1914-1918;19/03/1918;9350;Maroc
MOHAMED;Ben Hadj;1914-1918;24/11/1916;9350;Maroc
MOHAMED;Ben Hadj;1914-1918;31/07/1916;9350;Maroc
MOHAMED;Ben M'Hamed;1914-1918;18/07/1918;9350;Maroc
MOHAMED;Ben Mecki;1914-1918;09/01/1915;9350;Maroc
MOHAMED;Ben Mohamed;1914-1918;01/09/1918;9350;Maroc
MOHAMED;Ben Saed;1914-1918;17/12/1918;9350;Maroc
MOHAMED;Ben Tahar;1914-1918;06/10/1915;9350;Maroc
MOHAMED;Ben Taleb;1914-1918;21/06/1915;9350;Maroc
MOHAMED;Ben Thami;1914-1918;16/04/1917;9350;Maroc
MOHAMMED;Ben Allal El M'Sioui;1914-1918;29/06/1918;9350;Maroc
MOHAMMED;Ben Bouziane;1914-1918;20/08/1917;9350;Maroc
MOHAMMED;Ben Djilali;1914-1918;05/09/1914;9350;Maroc
MOHAMMED;Mohammed Ben Bachir;1914-1918;06/06/1915;9350;Maroc
MOUSSA;Ben Abdallah;1914-1918;08/09/1917;9350;Maroc
RALEM;Ben Tahare;1914-1918;24/01/1919;9350;Maroc
RHEZOUNI;Ben Mansour;1914-1918;23/10/1918;9350;Maroc
SALEM;Ben Abdallah;1914-1918;19/07/1918;9350;Maroc
SALEM;Ben Allal;1914-1918;15/06/1918;9350;Maroc
SI MOHAMED;Ben Bouchaeb;1914-1918;21/08/1917;9350;Maroc
TAHMI;Ben Smail;1914-1918;23/07/1918;9350;Maroc
ABDALLAH;Ben Ahmed;1914-1918;24/09/1918;9350;Maroc
ABDALLAH;Ben Djillali;1914-1918;01/10/1918;9350;Maroc
ABDALLAH;Ben El Hadj;1914-1918;20/08/1918;9350;Maroc
ABDALLAH;Ben Naceur;1914-1918;26/05/1915;9350;Maroc
ABDELKADER;Ben Fathah Ben Meknessi;1914-1918;16/07/1918;9350;Maroc
ABDELKADER;Ben Lakdar;1914-1918;16/04/1917;9350;Maroc
ABDELKADER;Ben Mohamed;1914-1918;10/03/1915;9350;Maroc
ABDELKRIM;Ben Mohamed;1914-1918;13/09/1914;9350;Maroc
ABDERRAHMAN;Ben Hadj Ben Ali;1914-1918;14/12/1917;9350;Maroc
ABDESSALEM;Ben Aessa;1914-1918;06/10/1915;9350;Maroc
ABDESSALEM;Ben Bouazza;1914-1918;23/05/1916;9350;Maroc
ABDESSELAM;Ben Zemouri;1914-1918;23/05/1916;9350;Maroc
ABDESSELEM;Ben Ahmed;1914-1918;13/08/1918;9350;Maroc
ABDESSELEM;Ben Djillali;1914-1918;05/05/1915;9350;Maroc
ABDESSELEM;Ben Mohamed;1914-1918;13/03/1919;9350;Maroc
ABDESSELEM;Ben Mohamed;1914-1918;13/03/1915;9350;Maroc
ACCI;Ben Brik;1914-1918;09/01/1915;9350;Maroc
AHMED;Ben Abdallah;1914-1918;14/03/1917;9350;Maroc
AHMED;Ben Abid El Fahsi;1914-1918;06/10/1915;9350;Maroc
AHMED;Ben Ahmed;1914-1918;17/05/1916;9350;Maroc
AHMED;Ben Alfi;1914-1918;16/04/1917;9350;Maroc
AHMED;Ben Bouazza;1914-1918;29/05/1915;9350;Maroc
AHMED;Ben Djilali;1914-1918;03/10/1918;9350;Maroc
AHMED;Ben Drahal;1914-1918;16/05/1915;9350;Maroc
AHMED;Ben L'Hassen;1914-1918;16/03/1915;9350;Maroc
AHMED;Ben Lachemi;1914-1918;06/10/1915;9350;Maroc
